id,source_string,original_EN,translated_FR,translated_ZH
DMS-1,en,Remember: you are enough.,Rappelez-vous : vous êtes suffisant.,记住：你是足够的。
DMS-2,en,You matter. You are important. You are loved.,Vous êtes important. Vous êtes important. Vous êtes aimé.,你很重要。你是重要的。你是被爱的。
DMS-3,en,We fall. We break. We fail. But then…. We rise. We heal. We overcome.,Nous tombons. Nous nous brisons. Nous échouons. Mais ensuite.... Nous nous relevons. Nous guérissons. Nous vainquons.,我们跌倒了。我们崩溃。我们失败了。但随后....我们崛起。我们痊愈。我们克服。
DMS-4,en,You are more than your struggles.,Vous êtes plus que vos luttes.,你比你的挣扎更重要。
DMS-5,en,All you need to do today is put one foot in front of the other. And that is enough.,Tout ce que vous devez faire aujourd'hui est de mettre un pied devant l'autre. Et c'est suffisant.,你今天需要做的就是把一只脚放在另一只脚前面。而这就足够了。
DMS-6,en,"Take it one day at a time and, at the end of each day, be proud of your progress.","Prenez les choses un jour après l'autre et, à la fin de chaque journée, soyez fier de vos progrès.",一天一天来，在每一天结束时，为你的进步感到自豪。
DMS-7,en,"When you feel you can’t go on, remember to breathe your way through that moment. And the next moment. And every moment after that. Focus on your breathing and you won’t notice that you’ve started to breathe easier.","Quand vous sentez que vous ne pouvez pas continuer, rappelez-vous de respirer pour traverser ce moment. Et le moment suivant. Et chaque moment suivant. Concentrez-vous sur votre respiration et vous ne remarquerez pas que vous avez commencé à respirer plus facilement.",当你觉得你无法继续下去时，记得用呼吸的方式度过那一刻。还有下一个时刻。以及之后的每一刻。专注于你的呼吸，你不会注意到你已经开始轻松地呼吸了。
DMS-8,en,There are people who love you and want to help you. Reach out to them and they will surprise you.,Il y a des gens qui vous aiment et qui veulent vous aider. Tendez-leur la main et ils vous surprendront.,有一些人爱你并想帮助你。向他们伸出援手，他们会给你带来惊喜。
DMS-9,en,You are someone’s reason to smile.,Vous êtes la raison de sourire de quelqu'un.,你是某人微笑的理由。
DMS-10,en,"Worrying about tomorrow doesn’t help tomorrow, it only takes the joy out of today.","S'inquiéter pour demain n'aide pas demain, cela ne fait qu'enlever la joie d'aujourd'hui.",担心明天对明天没有帮助，它只会让今天的快乐消失。
DMS-11,en,"Struggling does not diminish your worth: it increases your value by giving you strength, empathy, and understanding.","Les difficultés ne diminuent pas votre valeur : elles l'augmentent en vous donnant force, empathie et compréhension.",挣扎并不削弱你的价值：它通过给予你力量、同情和理解来增加你的价值。
DMS-12,en,To be human is to struggle: to deny your struggles is to deny your humanity.,"Être humain, c'est lutter : nier ses luttes, c'est nier son humanité.",做人就是挣扎：否认你的挣扎就是否认你的人性。
DMS-13,en,Embrace your struggles as an athlete embraces weight training: they make you stronger.,Acceptez vos difficultés comme un athlète accepte la musculation : elles vous rendent plus fort.,拥抱你的挣扎，就像运动员拥抱重量训练一样：它们使你更强大。
DMS-14,en,Struggling does not mean you’re weak: it means you are a human being living in the real world. Embrace your humanity and know that all of share that sense of humanity.,Lutter ne signifie pas que vous êtes faible : cela signifie que vous êtes un être humain vivant dans le monde réel. Embrassez votre humanité et sachez que tout le monde partage ce sentiment d'humanité.,挣扎并不意味着你是弱者：它意味着你是一个生活在现实世界的人。拥抱你的人性，并知道所有人都有这种人性意识。
DMS-15,en,"When times are tough, reach out to someone. Sharing your struggles will lift some weight off your shoulders.","Lorsque les temps sont durs, tendez la main à quelqu'un. Le fait de partager vos difficultés vous soulagera d'un certain poids.",在困难的时候，向别人伸出援手。分享你的挣扎将解除你肩膀上的一些重量。
DMS-16,en,It is okay to not be okay.,C'est correct de ne pas être correct.,不太好是可以的。
DMS-17,en,"Have patience with yourself. You wouldn’t expect yourself to run with a broken leg: the same is true of your mind. During hard times, you must rest and take care of yourself so you can heal.","Soyez patient avec vous-même. Vous ne vous attendriez pas à courir avec une jambe cassée : il en va de même pour votre esprit. Dans les moments difficiles, vous devez vous reposer et prendre soin de vous pour pouvoir guérir.",对自己要有耐心。你不会期望自己带着一条断腿去跑步：你的思想也是如此。在困难时期，你必须休息，照顾好自己，这样你才能痊愈。
DMS-18,en,Have patience with yourself. What would you say to a loved one going through the same thing? You also deserve that kind of support – say it to yourself.,"Soyez patient avec vous-même. Que diriez-vous à un être cher qui traverse la même épreuve ? Vous aussi, vous méritez ce genre de soutien - dites-le à vous-même.",对自己要有耐心。你会对经历同样事情的亲人说什么？你也应该得到这种支持--对自己说。
DMS-19,en,The world needs you: you have a purpose.,Le monde a besoin de vous : vous avez un but.,世界需要你：你有一个目的。
DMS-20,en,"When you are in darkness, find a star and hang on. The sun will rise.","Quand tu es dans l'obscurité, trouve une étoile et accroche-toi. Le soleil se lèvera.",当你在黑暗中时，找到一颗星星并坚持下去。太阳会升起。
DMS-21,en,"You are not alone: reach out your hand, someone is waiting to hold it.","Vous n'êtes pas seul : tendez votre main, quelqu'un attend de la prendre.",你并不孤单：伸出你的手，有人正等着握住它。
DMS-22,en,Use your struggles as your weights and strengthen your muscles of resilience and survival.,Utilisez vos luttes comme des poids et renforcez vos muscles de résilience et de survie.,把你的挣扎当作你的砝码，加强你的韧性和生存的肌肉。
DMS-23,en,People can’t help if they don’t know…reach out.,Les gens ne peuvent pas aider s'ils ne savent pas... tendez la main.,如果人们不知道，就无法帮助他们......伸出援手。
DMS-24,en,Support groups exist because they are passionate about helping others who are struggling. They will be thankful you contacted them.,Les groupes de soutien existent parce qu'ils se passionnent pour l'aide aux personnes en difficulté. Ils vous seront reconnaissants de les avoir contactés.,支持小组的存在是因为他们热衷于帮助其他正在挣扎的人。他们会感谢你与他们联系。
DMS-25,en,Take care of yourself and get help. You are not alone.,Prenez soin de vous et demandez de l'aide. Vous n'êtes pas seul.,照顾好自己并获得帮助。你并不孤单。
DMS-26,en,you've survived 100% of your bad days so far.,tu as survécu à 100% de tes mauvais jours jusqu'à présent.,到目前为止，你已经100%地度过了你的坏日子。
DMS-27,en,you are enough.,...tu es suffisant.,你是足够的。
DMS-28,en,you matter to people. vous comptez pour les gens,you matter to people. vous comptez pour les gens,你对人们很重要。
DMS-29,en,You have touched so many people’s lives with your strengths.,Vous avez touché la vie de tant de gens avec vos forces.,你用你的力量感动了许多人的生活。
DMS-30,en,Know that this feeling will pass and you will feel stronger and more able to deal with life challenges.,Sachez que ce sentiment passera et que vous vous sentirez plus fort et plus apte à faire face aux défis de la vie.,要知道这种感觉会过去，你会感到更强大，更有能力应对生活中的挑战。
DMS-31,en,You matter to people.,Vous comptez pour les gens.,你对人们很重要。
DMS-32,en,Be proud of how far you have come in life.,Soyez fier du chemin parcouru dans votre vie.,为你在生活中所取得的成就感到骄傲。
DMS-33,en,"If today, all you did was survive, I'm proud of you.","Si aujourd'hui, tu n'as fait que survivre, je suis fier de toi.",如果今天，你所做的一切是为了生存，我为你感到骄傲。
DMS-34,en,We believe in you and know that you can overcome today’s challenges.,Nous croyons en vous et savons que vous pouvez surmonter les défis d'aujourd'hui.,我们相信你，并知道你能克服今天的挑战。
DMS-35,en,You've made it through this before. You can do it again.,Vous avez déjà traversé cette épreuve. Vous pouvez le faire à nouveau.,你以前已经度过了这个难关。你可以再做一次。
DMS-36,en,"This will pass. It may pass like kidney stones, but It will pass.","-Ça va passer. Ça peut passer comme des calculs rénaux, mais ça passera.",这将会过去。它可能会像肾结石一样过去，但它会过去。
DMS-37,en,Get knocked down. But rise as the whole damn fire.,On se fait démolir. Mais s'élever comme tout ce foutu feu.,被打倒。但上升为整个该死的火。
DMS-38,en,Facing challenges is inevitable. Backing down is optional.,Faire face aux défis est inévitable. Reculer est facultatif.,面对挑战是不可避免的。退缩是可选的。
DMS-39,en,"-Life doesn't get better, you get better at dealing with it","-La vie ne s'améliore pas, on s'améliore à la gérer.",生活不会变得更好，你会更善于处理它
DMS-40,en,Don't let a stumble in the road ruin your whole journey. What you are experiencing now is just a stumble.,Ne laissez pas un faux pas sur la route gâcher tout votre voyage. Ce que vous vivez maintenant n'est qu'un faux pas.,不要让道路上的一个绊脚石毁掉你的整个旅程。你现在所经历的只是一个绊脚石。
